対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
202001,28100,00000,全市,合計,合計,総数,1531519,,
202001,28100,00000,全市,合計,合計,0,10234,,
202001,28100,00000,全市,合計,合計,1,10528,,
202001,28100,00000,全市,合計,合計,2,11419,,
202001,28100,00000,全市,合計,合計,3,11920,,
202001,28100,00000,全市,合計,合計,4,12018,,
202001,28100,00000,全市,合計,合計,5,12225,,
202001,28100,00000,全市,合計,合計,6,12348,,
202001,28100,00000,全市,合計,合計,7,12582,,
202001,28100,00000,全市,合計,合計,8,12760,,
202001,28100,00000,全市,合計,合計,9,13138,,
202001,28100,00000,全市,合計,合計,10,13162,,
202001,28100,00000,全市,合計,合計,11,13318,,
202001,28100,00000,全市,合計,合計,12,13184,,
202001,28100,00000,全市,合計,合計,13,13313,,
202001,28100,00000,全市,合計,合計,14,12985,,
202001,28100,00000,全市,合計,合計,15,13360,,
202001,28100,00000,全市,合計,合計,16,13590,,
202001,28100,00000,全市,合計,合計,17,13853,,
202001,28100,00000,全市,合計,合計,18,13879,,
202001,28100,00000,全市,合計,合計,19,15243,,
202001,28100,00000,全市,合計,合計,20,15694,,
202001,28100,00000,全市,合計,合計,21,16036,,
202001,28100,00000,全市,合計,合計,22,15904,,
202001,28100,00000,全市,合計,合計,23,16145,,
202001,28100,00000,全市,合計,合計,24,15378,,
202001,28100,00000,全市,合計,合計,25,15702,,
202001,28100,00000,全市,合計,合計,26,14983,,
202001,28100,00000,全市,合計,合計,27,14877,,
202001,28100,00000,全市,合計,合計,28,14765,,
202001,28100,00000,全市,合計,合計,29,15078,,
202001,28100,00000,全市,合計,合計,30,15193,,
202001,28100,00000,全市,合計,合計,31,15768,,
202001,28100,00000,全市,合計,合計,32,16103,,
202001,28100,00000,全市,合計,合計,33,16495,,
202001,28100,00000,全市,合計,合計,34,16979,,
202001,28100,00000,全市,合計,合計,35,17673,,
202001,28100,00000,全市,合計,合計,36,17910,,
202001,28100,00000,全市,合計,合計,37,17979,,
202001,28100,00000,全市,合計,合計,38,17948,,
202001,28100,00000,全市,合計,合計,39,18470,,
202001,28100,00000,全市,合計,合計,40,18968,,
202001,28100,00000,全市,合計,合計,41,20561,,
202001,28100,00000,全市,合計,合計,42,20825,,
202001,28100,00000,全市,合計,合計,43,21535,,
202001,28100,00000,全市,合計,合計,44,22921,,
202001,28100,00000,全市,合計,合計,45,24398,,
202001,28100,00000,全市,合計,合計,46,25607,,
202001,28100,00000,全市,合計,合計,47,24909,,
202001,28100,00000,全市,合計,合計,48,24456,,
202001,28100,00000,全市,合計,合計,49,24015,,
202001,28100,00000,全市,合計,合計,50,23213,,
202001,28100,00000,全市,合計,合計,51,23116,,
202001,28100,00000,全市,合計,合計,52,22337,,
202001,28100,00000,全市,合計,合計,53,17141,,
202001,28100,00000,全市,合計,合計,54,21319,,
202001,28100,00000,全市,合計,合計,55,20403,,
