対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
202101,28100,00000,全市,合計,合計,総数,1524656,,
202101,28100,00000,全市,合計,合計,0,9588,,
202101,28100,00000,全市,合計,合計,1,10460,,
202101,28100,00000,全市,合計,合計,2,10526,,
202101,28100,00000,全市,合計,合計,3,11387,,
202101,28100,00000,全市,合計,合計,4,11895,,
202101,28100,00000,全市,合計,合計,5,12031,,
202101,28100,00000,全市,合計,合計,6,12204,,
202101,28100,00000,全市,合計,合計,7,12364,,
202101,28100,00000,全市,合計,合計,8,12607,,
202101,28100,00000,全市,合計,合計,9,12793,,
202101,28100,00000,全市,合計,合計,10,13172,,
202101,28100,00000,全市,合計,合計,11,13227,,
202101,28100,00000,全市,合計,合計,12,13340,,
202101,28100,00000,全市,合計,合計,13,13201,,
202101,28100,00000,全市,合計,合計,14,13347,,
202101,28100,00000,全市,合計,合計,15,12973,,
202101,28100,00000,全市,合計,合計,16,13343,,
202101,28100,00000,全市,合計,合計,17,13589,,
202101,28100,00000,全市,合計,合計,18,13931,,
202101,28100,00000,全市,合計,合計,19,14421,,
202101,28100,00000,全市,合計,合計,20,15491,,
202101,28100,00000,全市,合計,合計,21,16027,,
202101,28100,00000,全市,合計,合計,22,16243,,
202101,28100,00000,全市,合計,合計,23,15950,,
202101,28100,00000,全市,合計,合計,24,15759,,
202101,28100,00000,全市,合計,合計,25,15190,,
202101,28100,00000,全市,合計,合計,26,15168,,
202101,28100,00000,全市,合計,合計,27,14570,,
202101,28100,00000,全市,合計,合計,28,14675,,
202101,28100,00000,全市,合計,合計,29,14574,,
202101,28100,00000,全市,合計,合計,30,14800,,
202101,28100,00000,全市,合計,合計,31,14989,,
202101,28100,00000,全市,合計,合計,32,15674,,
202101,28100,00000,全市,合計,合計,33,16061,,
202101,28100,00000,全市,合計,合計,34,16461,,
202101,28100,00000,全市,合計,合計,35,16958,,
202101,28100,00000,全市,合計,合計,36,17734,,
202101,28100,00000,全市,合計,合計,37,17886,,
202101,28100,00000,全市,合計,合計,38,18035,,
202101,28100,00000,全市,合計,合計,39,17954,,
202101,28100,00000,全市,合計,合計,40,18514,,
202101,28100,00000,全市,合計,合計,41,18970,,
202101,28100,00000,全市,合計,合計,42,20500,,
202101,28100,00000,全市,合計,合計,43,20837,,
202101,28100,00000,全市,合計,合計,44,21536,,
202101,28100,00000,全市,合計,合計,45,22919,,
202101,28100,00000,全市,合計,合計,46,24336,,
202101,28100,00000,全市,合計,合計,47,25665,,
202101,28100,00000,全市,合計,合計,48,24911,,
202101,28100,00000,全市,合計,合計,49,24452,,
202101,28100,00000,全市,合計,合計,50,23989,,
202101,28100,00000,全市,合計,合計,51,23218,,
202101,28100,00000,全市,合計,合計,52,23104,,
202101,28100,00000,全市,合計,合計,53,22318,,
202101,28100,00000,全市,合計,合計,54,17101,,
202101,28100,00000,全市,合計,合計,55,21299,,
202101,28100,00000,全市,合計,合計,56,20364,,
202101,28100,00000,全市,合計,合計,57,19702,,
202101,28100,00000,全市,合計,合計,58,19183,,
202101,28100,00000,全市,合計,合計,59,18628,,
202101,28100,00000,全市,合計,合計,60,18215,,
202101,28100,00000,全市,合計,合計,61,18281,,
202101,28100,00000,全市,合計,合計,62,18338,,
202101,28100,00000,全市,合計,合計,63,17024,,
202101,28100,00000,全市,合計,合計,64,17799,,
202101,28100,00000,全市,合計,合計,65,17397,,
202101,28100,00000,全市,合計,合計,66,17712,,
202101,28100,00000,全市,合計,合計,67,19072,,
202101,28100,00000,全市,合計,合計,68,19451,,
202101,28100,00000,全市,合計,合計,69,20457,,
202101,28100,00000,全市,合計,合計,70,21912,,
202101,28100,00000,全市,合計,合計,71,24990,,
202101,28100,00000,全市,合計,合計,72,25944,,
202101,28100,00000,全市,合計,合計,73,25160,,
202101,28100,00000,全市,合計,合計,74,17046,,
202101,28100,00000,全市,合計,合計,75,14205,,
202101,28100,00000,全市,合計,合計,76,17536,,
202101,28100,00000,全市,合計,合計,77,17930,,
202101,28100,00000,全市,合計,合計,78,17169,,
202101,28100,00000,全市,合計,合計,79,17843,,
202101,28100,00000,全市,合計,合計,80,15308,,
202101,28100,00000,全市,合計,合計,81,13037,,
202101,28100,00000,全市,合計,合計,82,12004,,
202101,28100,00000,全市,合計,合計,83,13119,,
202101,28100,00000,全市,合計,合計,84,11736,,
202101,28100,00000,全市,合計,合計,85,11588,,
202101,28100,00000,全市,合計,合計,86,9792,,
202101,28100,00000,全市,合計,合計,87,9169,,
202101,28100,00000,全市,合計,合計,88,8538,,
202101,28100,00000,全市,合計,合計,89,6733,,
202101,28100,00000,全市,合計,合計,90,6044,,
202101,28100,00000,全市,合計,合計,91,4951,,
202101,28100,00000,全市,合計,合計,92,4265,,
202101,28100,00000,全市,合計,合計,93,3154,,
202101,28100,00000,全市,合計,合計,94,2679,,
202101,28100,00000,全市,合計,合計,95,2057,,
202101,28100,00000,全市,合計,合計,96,1518,,
202101,28100,00000,全市,合計,合計,97,1083,,
202101,28100,00000,全市,合計,合計,98,790,,
202101,28100,00000,全市,合計,合計,99,587,,
202101,28100,00000,全市,合計,合計,100,879,,
202101,28100,00000,全市,合計,男,総数,722534,,
202101,28100,00000,全市,合計,男,0,4921,,
202101,28100,00000,全市,合計,男,1,5293,,
202101,28100,00000,全市,合計,男,2,5494,,
202101,28100,00000,全市,合計,男,3,5831,,
202101,28100,00000,全市,合計,男,4,6161,,
202101,28100,00000,全市,合計,男,5,6209,,
202101,28100,00000,全市,合計,男,6,6257,,
202101,28100,00000,全市,合計,男,7,6286,,
202101,28100,00000,全市,合計,男,8,6526,,
202101,28100,00000,全市,合計,男,9,6459,,
202101,28100,00000,全市,合計,男,10,6785,,
202101,28100,00000,全市,合計,男,11,6740,,
202101,28100,00000,全市,合計,男,12,6789,,
202101,28100,00000,全市,合計,男,13,6817,,
202101,28100,00000,全市,合計,男,14,6868,,
202101,28100,00000,全市,合計,男,15,6627,,
202101,28100,00000,全市,合計,男,16,6719,,
202101,28100,00000,全市,合計,男,17,7054,,
202101,28100,00000,全市,合計,男,18,7071,,
202101,28100,00000,全市,合計,男,19,7377,,
202101,28100,00000,全市,合計,男,20,7858,,
202101,28100,00000,全市,合計,男,21,8106,,
202101,28100,00000,全市,合計,男,22,8114,,
202101,28100,00000,全市,合計,男,23,7744,,
202101,28100,00000,全市,合計,男,24,7693,,
202101,28100,00000,全市,合計,男,25,7476,,
202101,28100,00000,全市,合計,男,26,7325,,
202101,28100,00000,全市,合計,男,27,7176,,
202101,28100,00000,全市,合計,男,28,7125,,
202101,28100,00000,全市,合計,男,29,7128,,
202101,28100,00000,全市,合計,男,30,7270,,
202101,28100,00000,全市,合計,男,31,7501,,
202101,28100,00000,全市,合計,男,32,7675,,
202101,28100,00000,全市,合計,男,33,7918,,
202101,28100,00000,全市,合計,男,34,8102,,
202101,28100,00000,全市,合計,男,35,8377,,
202101,28100,00000,全市,合計,男,36,8599,,
202101,28100,00000,全市,合計,男,37,8826,,
202101,28100,00000,全市,合計,男,38,8759,,
202101,28100,00000,全市,合計,男,39,8673,,
202101,28100,00000,全市,合計,男,40,8964,,
202101,28100,00000,全市,合計,男,41,9291,,
202101,28100,00000,全市,合計,男,42,9851,,
202101,28100,00000,全市,合計,男,43,9964,,
202101,28100,00000,全市,合計,男,44,10407,,
202101,28100,00000,全市,合計,男,45,11160,,
202101,28100,00000,全市,合計,男,46,11821,,
202101,28100,00000,全市,合計,男,47,12398,,
202101,28100,00000,全市,合計,男,48,12156,,
202101,28100,00000,全市,合計,男,49,11950,,
202101,28100,00000,全市,合計,男,50,11683,,
202101,28100,00000,全市,合計,男,51,11398,,
202101,28100,00000,全市,合計,男,52,11379,,
202101,28100,00000,全市,合計,男,53,10810,,
202101,28100,00000,全市,合計,男,54,8334,,
202101,28100,00000,全市,合計,男,55,10212,,
202101,28100,00000,全市,合計,男,56,9879,,
202101,28100,00000,全市,合計,男,57,9510,,
202101,28100,00000,全市,合計,男,58,9248,,
202101,28100,00000,全市,合計,男,59,9006,,
202101,28100,00000,全市,合計,男,60,8791,,
202101,28100,00000,全市,合計,男,61,8616,,
202101,28100,00000,全市,合計,男,62,8782,,
202101,28100,00000,全市,合計,男,63,8083,,
202101,28100,00000,全市,合計,男,64,8624,,
202101,28100,00000,全市,合計,男,65,8261,,
202101,28100,00000,全市,合計,男,66,8427,,
202101,28100,00000,全市,合計,男,67,9061,,
202101,28100,00000,全市,合計,男,68,9316,,
202101,28100,00000,全市,合計,男,69,9645,,
202101,28100,00000,全市,合計,男,70,10381,,
202101,28100,00000,全市,合計,男,71,11680,,
202101,28100,00000,全市,合計,男,72,12039,,
202101,28100,00000,全市,合計,男,73,11680,,
202101,28100,00000,全市,合計,男,74,7794,,
202101,28100,00000,全市,合計,男,75,6398,,
202101,28100,00000,全市,合計,男,76,7712,,
202101,28100,00000,全市,合計,男,77,7940,,
202101,28100,00000,全市,合計,男,78,7445,,
202101,28100,00000,全市,合計,男,79,7571,,
202101,28100,00000,全市,合計,男,80,6342,,
202101,28100,00000,全市,合計,男,81,5384,,
202101,28100,00000,全市,合計,男,82,4877,,
202101,28100,00000,全市,合計,男,83,5132,,
202101,28100,00000,全市,合計,男,84,4543,,
202101,28100,00000,全市,合計,男,85,4241,,
202101,28100,00000,全市,合計,男,86,3480,,
202101,28100,00000,全市,合計,男,87,3133,,
202101,28100,00000,全市,合計,男,88,2873,,
202101,28100,00000,全市,合計,男,89,2121,,
202101,28100,00000,全市,合計,男,90,1781,,
202101,28100,00000,全市,合計,男,91,1350,,
202101,28100,00000,全市,合計,男,92,1135,,
202101,28100,00000,全市,合計,男,93,799,,
202101,28100,00000,全市,合計,男,94,667,,
202101,28100,00000,全市,合計,男,95,448,,
202101,28100,00000,全市,合計,男,96,327,,
202101,28100,00000,全市,合計,男,97,202,,
202101,28100,00000,全市,合計,男,98,130,,
202101,28100,00000,全市,合計,男,99,77,,
202101,28100,00000,全市,合計,男,100,96,,
202101,28100,00000,全市,合計,女,総数,802122,,
