対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
202301,28100,00000,全市,合計,合計,総数,1508224,,
202301,28100,00000,全市,合計,合計,0,8752,,
202301,28100,00000,全市,合計,合計,1,9550,,
202301,28100,00000,全市,合計,合計,2,9787,,
202301,28100,00000,全市,合計,合計,3,10353,,
202301,28100,00000,全市,合計,合計,4,10540,,
202301,28100,00000,全市,合計,合計,5,11359,,
202301,28100,00000,全市,合計,合計,6,11902,,
202301,28100,00000,全市,合計,合計,7,11993,,
202301,28100,00000,全市,合計,合計,8,12223,,
202301,28100,00000,全市,合計,合計,9,12412,,
202301,28100,00000,全市,合計,合計,10,12636,,
202301,28100,00000,全市,合計,合計,11,12838,,
202301,28100,00000,全市,合計,合計,12,13215,,
202301,28100,00000,全市,合計,合計,13,13255,,
202301,28100,00000,全市,合計,合計,14,13349,,
202301,28100,00000,全市,合計,合計,15,13231,,
202301,28100,00000,全市,合計,合計,16,13295,,
202301,28100,00000,全市,合計,合計,17,13001,,
202301,28100,00000,全市,合計,合計,18,13514,,
202301,28100,00000,全市,合計,合計,19,14387,,
202301,28100,00000,全市,合計,合計,20,15219,,
202301,28100,00000,全市,合計,合計,21,15603,,
202301,28100,00000,全市,合計,合計,22,16491,,
202301,28100,00000,全市,合計,合計,23,16469,,
202301,28100,00000,全市,合計,合計,24,16359,,
202301,28100,00000,全市,合計,合計,25,15408,,
202301,28100,00000,全市,合計,合計,26,15356,,
202301,28100,00000,全市,合計,合計,27,14715,,
202301,28100,00000,全市,合計,合計,28,14696,,
202301,28100,00000,全市,合計,合計,29,14121,,
202301,28100,00000,全市,合計,合計,30,14291,,
202301,28100,00000,全市,合計,合計,31,14324,,
202301,28100,00000,全市,合計,合計,32,14552,,
202301,28100,00000,全市,合計,合計,33,14732,,
202301,28100,00000,全市,合計,合計,34,15523,,
202301,28100,00000,全市,合計,合計,35,15830,,
202301,28100,00000,全市,合計,合計,36,16330,,
202301,28100,00000,全市,合計,合計,37,16848,,
202301,28100,00000,全市,合計,合計,38,17614,,
202301,28100,00000,全市,合計,合計,39,17858,,
202301,28100,00000,全市,合計,合計,40,18000,,
202301,28100,00000,全市,合計,合計,41,17935,,
202301,28100,00000,全市,合計,合計,42,18502,,
202301,28100,00000,全市,合計,合計,43,18980,,
202301,28100,00000,全市,合計,合計,44,20451,,
202301,28100,00000,全市,合計,合計,45,20854,,
202301,28100,00000,全市,合計,合計,46,21555,,
202301,28100,00000,全市,合計,合計,47,22911,,
202301,28100,00000,全市,合計,合計,48,24346,,
202301,28100,00000,全市,合計,合計,49,25565,,
202301,28100,00000,全市,合計,合計,50,24908,,
202301,28100,00000,全市,合計,合計,51,24407,,
202301,28100,00000,全市,合計,合計,52,23905,,
202301,28100,00000,全市,合計,合計,53,23112,,
