対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
201610,28100,00000,全市,合計,合計,総数,1546463,,
201610,28100,00000,全市,合計,合計,0,11667,,
201610,28100,00000,全市,合計,合計,1,12129,,
201610,28100,00000,全市,合計,合計,2,12242,,
201610,28100,00000,全市,合計,合計,3,12382,,
201610,28100,00000,全市,合計,合計,4,12547,,
201610,28100,00000,全市,合計,合計,5,12794,,
201610,28100,00000,全市,合計,合計,6,13241,,
201610,28100,00000,全市,合計,合計,7,13069,,
201610,28100,00000,全市,合計,合計,8,13250,,
201610,28100,00000,全市,合計,合計,9,13178,,
201610,28100,00000,全市,合計,合計,10,13099,,
201610,28100,00000,全市,合計,合計,11,13159,,
201610,28100,00000,全市,合計,合計,12,13244,,
201610,28100,00000,全市,合計,合計,13,13755,,
201610,28100,00000,全市,合計,合計,14,13839,,
201610,28100,00000,全市,合計,合計,15,13863,,
201610,28100,00000,全市,合計,合計,16,14191,,
201610,28100,00000,全市,合計,合計,17,14206,,
201610,28100,00000,全市,合計,合計,18,14554,,
201610,28100,00000,全市,合計,合計,19,14838,,
201610,28100,00000,全市,合計,合計,20,15389,,
201610,28100,00000,全市,合計,合計,21,15262,,
201610,28100,00000,全市,合計,合計,22,15873,,
201610,28100,00000,全市,合計,合計,23,15551,,
201610,28100,00000,全市,合計,合計,24,15569,,
201610,28100,00000,全市,合計,合計,25,15821,,
201610,28100,00000,全市,合計,合計,26,15918,,
201610,28100,00000,全市,合計,合計,27,15796,,
201610,28100,00000,全市,合計,合計,28,16517,,
201610,28100,00000,全市,合計,合計,29,16587,,
201610,28100,00000,全市,合計,合計,30,16940,,
201610,28100,00000,全市,合計,合計,31,17263,,
201610,28100,00000,全市,合計,合計,32,18059,,
201610,28100,00000,全市,合計,合計,33,18274,,
201610,28100,00000,全市,合計,合計,34,17944,,
201610,28100,00000,全市,合計,合計,35,18291,,
201610,28100,00000,全市,合計,合計,36,18690,,
201610,28100,00000,全市,合計,合計,37,19428,,
201610,28100,00000,全市,合計,合計,38,20478,,
201610,28100,00000,全市,合計,合計,39,21128,,
201610,28100,00000,全市,合計,合計,40,21850,,
201610,28100,00000,全市,合計,合計,41,23425,,
201610,28100,00000,全市,合計,合計,42,24891,,
201610,28100,00000,全市,合計,合計,43,25621,,
201610,28100,00000,全市,合計,合計,44,24736,,
201610,28100,00000,全市,合計,合計,45,24427,,
201610,28100,00000,全市,合計,合計,46,23845,,
201610,28100,00000,全市,合計,合計,47,23539,,
201610,28100,00000,全市,合計,合計,48,22548,,
201610,28100,00000,全市,合計,合計,49,22391,,
201610,28100,00000,全市,合計,合計,50,17001,,
201610,28100,00000,全市,合計,合計,51,21586,,
201610,28100,00000,全市,合計,合計,52,20479,,
201610,28100,00000,全市,合計,合計,53,19840,,
201610,28100,00000,全市,合計,合計,54,19321,,
201610,28100,00000,全市,合計,合計,55,18419,,
201610,28100,00000,全市,合計,合計,56,18523,,
201610,28100,00000,全市,合計,合計,57,18878,,
201610,28100,00000,全市,合計,合計,58,18543,,
201610,28100,00000,全市,合計,合計,59,17098,,
201610,28100,00000,全市,合計,合計,60,18035,,
201610,28100,00000,全市,合計,合計,61,18106,,
