対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
202201,28100,00000,全市,合計,合計,総数,1515319,,
202201,28100,00000,全市,合計,合計,0,9338,,
202201,28100,00000,全市,合計,合計,1,9820,,
202201,28100,00000,全市,合計,合計,2,10398,,
202201,28100,00000,全市,合計,合計,3,10541,,
202201,28100,00000,全市,合計,合計,4,11372,,
202201,28100,00000,全市,合計,合計,5,11906,,
202201,28100,00000,全市,合計,合計,6,11989,,
202201,28100,00000,全市,合計,合計,7,12195,,
202201,28100,00000,全市,合計,合計,8,12376,,
202201,28100,00000,全市,合計,合計,9,12605,,
202201,28100,00000,全市,合計,合計,10,12816,,
202201,28100,00000,全市,合計,合計,11,13187,,
202201,28100,00000,全市,合計,合計,12,13249,,
202201,28100,00000,全市,合計,合計,13,13332,,
202201,28100,00000,全市,合計,合計,14,13215,,
202201,28100,00000,全市,合計,合計,15,13335,,
202201,28100,00000,全市,合計,合計,16,12978,,
202201,28100,00000,全市,合計,合計,17,13334,,
202201,28100,00000,全市,合計,合計,18,13644,,
202201,28100,00000,全市,合計,合計,19,14348,,
202201,28100,00000,全市,合計,合計,20,14631,,
202201,28100,00000,全市,合計,合計,21,15845,,
202201,28100,00000,全市,合計,合計,22,16056,,
202201,28100,00000,全市,合計,合計,23,16154,,
202201,28100,00000,全市,合計,合計,24,15542,,
202201,28100,00000,全市,合計,合計,25,15499,,
202201,28100,00000,全市,合計,合計,26,14917,,
202201,28100,00000,全市,合計,合計,27,14900,,
202201,28100,00000,全市,合計,合計,28,14302,,
202201,28100,00000,全市,合計,合計,29,14488,,
202201,28100,00000,全市,合計,合計,30,14461,,
202201,28100,00000,全市,合計,合計,31,14673,,
202201,28100,00000,全市,合計,合計,32,14867,,
202201,28100,00000,全市,合計,合計,33,15613,,
202201,28100,00000,全市,合計,合計,34,15914,,
202201,28100,00000,全市,合計,合計,35,16420,,
202201,28100,00000,全市,合計,合計,36,16890,,
202201,28100,00000,全市,合計,合計,37,17648,,
202201,28100,00000,全市,合計,合計,38,17853,,
202201,28100,00000,全市,合計,合計,39,18021,,
202201,28100,00000,全市,合計,合計,40,17937,,
202201,28100,00000,全市,合計,合計,41,18516,,
202201,28100,00000,全市,合計,合計,42,18983,,
202201,28100,00000,全市,合計,合計,43,20457,,
202201,28100,00000,全市,合計,合計,44,20841,,
202201,28100,00000,全市,合計,合計,45,21531,,
202201,28100,00000,全市,合計,合計,46,22898,,
202201,28100,00000,全市,合計,合計,47,24345,,
202201,28100,00000,全市,合計,合計,48,25569,,
202201,28100,00000,全市,合計,合計,49,24931,,
202201,28100,00000,全市,合計,合計,50,24423,,
202201,28100,00000,全市,合計,合計,51,23948,,
202201,28100,00000,全市,合計,合計,52,23157,,
202201,28100,00000,全市,合計,合計,53,23065,,
202201,28100,00000,全市,合計,合計,54,22293,,
202201,28100,00000,全市,合計,合計,55,17071,,
202201,28100,00000,全市,合計,合計,56,21285,,
202201,28100,00000,全市,合計,合計,57,20299,,
202201,28100,00000,全市,合計,合計,58,19648,,
202201,28100,00000,全市,合計,合計,59,19100,,
202201,28100,00000,全市,合計,合計,60,18545,,
202201,28100,00000,全市,合計,合計,61,18137,,
202201,28100,00000,全市,合計,合計,62,18223,,
202201,28100,00000,全市,合計,合計,63,18235,,
202201,28100,00000,全市,合計,合計,64,16927,,
202201,28100,00000,全市,合計,合計,65,17672,,
202201,28100,00000,全市,合計,合計,66,17274,,
202201,28100,00000,全市,合計,合計,67,17544,,
202201,28100,00000,全市,合計,合計,68,18867,,
202201,28100,00000,全市,合計,合計,69,19238,,
202201,28100,00000,全市,合計,合計,70,20229,,
202201,28100,00000,全市,合計,合計,71,21575,,
202201,28100,00000,全市,合計,合計,72,24660,,
202201,28100,00000,全市,合計,合計,73,25508,,
202201,28100,00000,全市,合計,合計,74,24696,,
202201,28100,00000,全市,合計,合計,75,16734,,
202201,28100,00000,全市,合計,合計,76,13921,,
202201,28100,00000,全市,合計,合計,77,17120,,
202201,28100,00000,全市,合計,合計,78,17462,,
202201,28100,00000,全市,合計,合計,79,16711,,
202201,28100,00000,全市,合計,合計,80,17259,,
202201,28100,00000,全市,合計,合計,81,14833,,
202201,28100,00000,全市,合計,合計,82,12544,,
202201,28100,00000,全市,合計,合計,83,11446,,
202201,28100,00000,全市,合計,合計,84,12462,,
202201,28100,00000,全市,合計,合計,85,11145,,
202201,28100,00000,全市,合計,合計,86,10921,,
202201,28100,00000,全市,合計,合計,87,9073,,
202201,28100,00000,全市,合計,合計,88,8420,,
